acc_x_g_mean,acc_x_g_std,acc_x_g_var,acc_x_g_min,acc_x_g_max,acc_x_g_rms,acc_x_g_energy,acc_y_g_mean,acc_y_g_std,acc_y_g_var,acc_y_g_min,acc_y_g_max,acc_y_g_rms,acc_y_g_energy,acc_z_g_mean,acc_z_g_std,acc_z_g_var,acc_z_g_min,acc_z_g_max,acc_z_g_rms,acc_z_g_energy,gyro_x_dps_mean,gyro_x_dps_std,gyro_x_dps_var,gyro_x_dps_min,gyro_x_dps_max,gyro_x_dps_rms,gyro_x_dps_energy,gyro_y_dps_mean,gyro_y_dps_std,gyro_y_dps_var,gyro_y_dps_min,gyro_y_dps_max,gyro_y_dps_rms,gyro_y_dps_energy,gyro_z_dps_mean,gyro_z_dps_std,gyro_z_dps_var,gyro_z_dps_min,gyro_z_dps_max,gyro_z_dps_rms,gyro_z_dps_energy,acc_mag_mean,acc_mag_std,acc_mag_max,gyro_mag_mean,gyro_mag_std,gyro_mag_max,label,label_id,source_file,window_start,window_end
0.99938005,0.0029920666,8.952463e-06,0.9924,1.0061,0.99938446,49.938465,0.00095400005,0.0032058202,1.0277283e-05,-0.0049,0.0083,0.003344757,0.00055937,-0.00038200006,0.004749176,2.2554676e-05,-0.0117,0.0086,0.0047645145,0.00113503,0.009068,0.07599789,0.005775679,-0.1265,0.1788,0.07653697,0.29289538,0.020993998,0.09005444,0.008109802,-0.2062,0.2289,0.092469186,0.42752752,0.0075220005,0.077242024,0.005966331,-0.2224,0.144,0.077607416,0.30114555,0.999396955556402,0.00299165917095223,1.0061319297189608,0.13165607499547335,0.055660103456482146,0.36125294462467705,idle,5,idle_20260609_090656.csv,1140,1190
0.999312,0.0032583936,1.0617128e-05,0.9916,1.0061,0.9993173,49.93175,0.0007180001,0.0035343848,1.2491876e-05,-0.009,0.0083,0.0036065772,0.00065036997,-0.00069799996,0.004596759,2.1130196e-05,-0.0117,0.0086,0.004649452,0.00108087,0.008607999,0.07176046,0.005149564,-0.1113,0.1788,0.0722749,0.26118305,0.015044001,0.090479374,0.008186517,-0.2062,0.2289,0.09172153,0.42064196,0.0055339998,0.079860695,0.0063777305,-0.2224,0.144,0.080052204,0.3204178,0.9993293226922259,0.003258835297640834,1.0061319297189608,0.13001697734810264,0.05603964490664595,0.36125294462467705,idle,5,idle_20260609_090656.csv,1150,1200
0.9792819,0.02099537,0.0004408055,0.8908,1.0085,0.9795071,47.971706,0.014400002,0.013708625,0.0001879264,-0.0225,0.0557,0.019881811,0.019764319,-0.08452801,0.019233534,0.0003699288,-0.1418,-0.031,0.086688586,0.37574556,-0.26941803,1.5709035,2.467738,-4.2868,2.5987,1.5938393,127.01619,0.11321993,6.147399,37.790512,-19.1985,10.2213,6.1484413,1890.1667,-0.157206,0.80075943,0.6412157,-2.9858,1.7852,0.816045,33.29647,0.9833129733229056,0.020972255359566483,1.0124115912019183,4.46169000501831,4.5937899941028775,19.200814418404235,left_tilt,6,left_tilt_20260609_091046.csv,0,50
0.981492,0.017613005,0.00031021793,0.9296,1.0134,0.98165,48.181835,0.016008,0.013347343,0.00017815155,-0.0225,0.0557,0.020842448,0.021720381,-0.09527199,0.03932039,0.0015460933,-0.2453,-0.0546,0.1030672,0.53114235,-0.085142024,1.6211632,2.6281703,-4.2868,4.0262,1.6233975,131.77097,-9.028452,17.927567,321.39767,-68.252,7.4427,20.072634,20145.531,0.127984,0.6343677,0.4024224,-0.9476,2.4646,0.6471494,20.940117,0.9871528510227011,0.014942138995227804,1.0176206611503131,11.276128250937914,16.69771718556162,68.37065736849398,left_tilt,6,left_tilt_20260609_091046.csv,10,60
0.96390414,0.03966403,0.0015732351,0.8515,1.0134,0.9647197,46.534206,0.015641998,0.011274007,0.00012710324,-0.0225,0.0391,0.019281479,0.01858877,-0.147486,0.10794495,0.011652113,-0.4353,-0.0546,0.18276826,1.6702118,-0.921784,2.486284,6.1816077,-7.3326,4.0262,2.6516585,351.56467,-22.236849,26.764557,716.34155,-68.8016,3.6183,34.79682,60540.945,1.1119499,1.9149281,3.6669495,-0.543,6.4265,2.214358,245.1691,0.9819356674828813,0.016202176549721687,1.0176206611503131,23.392769003165952,25.9909988238682,69.39643082940216,left_tilt,6,left_tilt_20260609_091046.csv,20,70
0.9208679,0.088010706,0.007745885,0.684,1.0134,0.9250642,42.78719,0.013872,0.010316628,0.00010643281,-0.0225,0.0391,0.017287718,0.01494326,-0.237752,0.18008746,0.032431494,-0.6037,-0.0678,0.29825747,4.4478755,-1.712774,2.642234,6.981401,-7.3326,4.0262,3.1488085,495.74976,-35.68097,28.574032,816.47534,-71.4199,3.6183,45.71222,104480.34,2.142482,2.315206,5.360179,-0.3903,6.6478,3.1544268,497.5204,0.9717925633854553,0.024886706265109287,1.0176206611503131,36.43619877137079,27.962038691396547,71.5546501829895,left_tilt,6,left_tilt_20260609_091046.csv,30,80
0.843428,0.15086861,0.02276134,0.5227,1.0134,0.85681516,36.706608,0.011134,0.010884495,0.000118472235,-0.0225,0.0391,0.015570427,0.01212191,-0.36027598,0.23200424,0.05382597,-0.75,-0.0678,0.42851463,9.181239,-1.6081941,2.6307595,6.920896,-7.3326,4.0262,3.083372,475.3592,-47.974854,23.163324,536.5396,-75.0917,-1.3359,53.274075,141906.34,2.505538,2.081537,4.332796,-0.3674,6.6478,3.257379,530.52594,0.9575964234341857,0.031755799880584995,1.0176206611503131,48.15402154774075,23.225735136811494,75.11715786117044,left_tilt,6,left_tilt_20260609_091046.csv,40,90
0.73442006,0.19801521,0.039210025,0.3735,1.0134,0.7606462,28.929136,0.0089340005,0.008904283,7.928625e-05,-0.0078,0.0391,0.012613588,0.00795513,-0.49966198,0.2354926,0.05545677,-0.8068,-0.0788,0.5523757,15.255944,-1.393992,2.6907556,7.240165,-7.3326,4.0262,3.030409,459.16895,-55.848602,13.048163,170.25458,-75.0917,-16.5802,57.352604,164466.05,2.704472,1.8926874,3.5822659,-0.0316,6.6478,3.3009748,544.8217,0.9395628274954524,0.032900461831874624,1.0176206611503131,56.01003468884797,13.125432383081566,75.11715786117044,left_tilt,6,left_tilt_20260609_091046.csv,50,100
0.59609395,0.22387473,0.050119895,0.2097,0.9489,0.63674796,20.272398,0.0052280007,0.0069081993,4.7723217e-05,-0.0078,0.0237,0.00866344,0.00375276,-0.63957006,0.18943222,0.035884567,-0.8654,-0.2414,0.667034,22.246716,-1.385292,2.5657525,6.5830855,-7.3326,0.9346,2.9158394,425.10602,-57.4254,9.116628,83.11289,-75.0917,-41.9848,58.144558,169039.48,2.7789783,1.8016179,3.2458267,1.0371,6.6478,3.3118794,548.4273,0.9218603264587379,0.025117708919985188,0.9802818880301727,57.57891840945565,9.21567893044511,75.11715786117044,left_tilt,6,left_tilt_20260609_091046.csv,60,110
0.441706,0.23104978,0.053384002,0.0517,0.8239,0.49848592,12.424411,0.0026759997,0.0058530527,3.4258224e-05,-0.0078,0.0237,0.006435775,0.0020709601,-0.74895203,0.132887,0.017658954,-0.9104,-0.4502,0.76064974,28.929403,-0.375214,1.7430265,3.0381415,-6.0578,0.9346,1.7829545,158.94633,-53.541283,9.788199,95.808846,-75.0917,-37.0459,54.42865,148123.9,2.10814,1.5142167,2.292852,0.8768,6.6478,2.5955935,336.8553,0.9092960410487317,0.01727370061981915,0.9610069198502162,53.621137327816704,9.857362862511563,75.11715786117044,left_tilt,6,left_tilt_20260609_091046.csv,70,120
0.285092,0.22223093,0.049386583,-0.0555,0.6813,0.36147484,6.533202,0.00050399994,0.0046903715,2.1999585e-05,-0.0081,0.0183,0.0047173724,0.0011126801,-0.82155,0.07985007,0.0063760336,-0.9104,-0.6108,0.8254214,34.06602,0.341278,0.28133714,0.07915058,-0.6303,0.9346,0.4422909,9.781062,-46.359303,11.591622,134.3657,-75.0917,-19.3817,47.78651,114177.52,1.273636,0.41762066,0.174407,0.4952,2.7623,1.3403566,89.82779,0.9010375729302775,0.011748036768533587,0.929560439132389,46.379401416756345,11.59715023992438,75.11715786117044,left_tilt,6,left_tilt_20260609_091046.csv,80,130
0.146,0.2005325,0.04021328,-0.1395,0.5173,0.24805096,3.076464,-0.00056399987,0.003571821,1.2757904e-05,-0.0081,0.0083,0.0036160753,0.00065380003,-0.861682,0.04488806,0.002014938,-0.9294,-0.7395,0.86285037,37.225536,0.389216,0.23673315,0.056042586,-0.0883,0.9422,0.45555645,10.376584,-38.524036,12.129924,147.13506,-53.7253,-12.5191,40.38857,81561.83,1.021724,0.36789995,0.13535038,0.1898,1.541,1.0859421,58.963512,0.89772003482451,0.012324823515192805,0.9353473686283615,38.54071899889817,12.134098769738504,53.74596909713323,left_tilt,6,left_tilt_20260609_091046.csv,90,140
0.028114004,0.1601762,0.025656417,-0.1817,0.3508,0.16262476,1.3223406,-0.001584,0.0035473574,1.2583744e-05,-0.0134,0.0064,0.0038849453,0.00075464003,-0.881986,0.021161664,0.00044781604,-0.9294,-0.8247,0.8822398,38.917355,0.216238,0.5887737,0.34665447,-1.9509,1.2552,0.6272267,19.670668,-26.460983,24.25116,588.1188,-53.7253,40.8778,35.892933,64415.13,0.70935404,0.6322452,0.39973396,-0.94,1.5181,0.95021945,45.14585,0.8970234085688087,0.012570953806147327,0.9353473686283615,33.33907332486554,13.345599705365021,53.74596909713323,left_tilt,6,left_tilt_20260609_091046.csv,100,150
-0.032464005,0.09882001,0.009765394,-0.1817,0.1843,0.10401589,0.54096526,-0.00187,0.003499957,1.22496995e-05,-0.0134,0.0039,0.003968199,0.00078733,-0.890944,0.014646041,0.00021450652,-0.9294,-0.8559,0.89106435,39.699783,0.040822,0.5765633,0.33242524,-1.9509,1.2552,0.5780066,16.704582,-7.1406746,35.441517,1256.1011,-50.5039,61.3206,36.153706,65354.516,0.20156997,0.9134864,0.8344574,-1.6346,1.3807,0.9354612,43.754387,0.8970211711577302,0.01355685416364109,0.9353473686283615,33.435439332554346,13.797494973555079,61.34390303143418,left_tilt,6,left_tilt_20260609_091046.csv,110,160
-0.019330002,0.123505116,0.015253513,-0.1817,0.3144,0.12500864,0.781358,-0.0017280002,0.0044500357,1.9802817e-05,-0.0134,0.0117,0.0047737616,0.00113944,-0.88783395,0.017068129,0.00029132102,-0.9294,-0.8503,0.8879981,39.42703,-0.176586,0.6392434,0.40863216,-1.9509,1.2552,0.6631853,21.990738,15.492915,40.44254,1635.5989,-42.1298,79.29,43.308537,93781.47,-0.38575402,1.0008925,1.0017858,-2.1232,1.1975,1.0726564,57.529583,0.8966607739059823,0.013781848146191501,0.9353473686283615,38.430410022622716,20.00808251123279,79.31474138910119,left_tilt,6,left_tilt_20260609_091046.csv,120,170
0.069703996,0.22002243,0.048409864,-0.1817,0.5246,0.2307997,2.6634254,-0.0009379999,0.005282647,2.7906357e-05,-0.0134,0.0117,0.005365277,0.0014393099,-0.867758,0.043452665,0.001888134,-0.9294,-0.7475,0.8688452,37.744602,-0.36727795,0.663748,0.44056147,-1.9509,1.2552,0.75858724,28.77273,36.392765,38.1414,1454.7664,-31.1222,79.6259,52.718117,138959.98,-0.89414996,0.93628234,0.8766246,-2.1919,0.7165,1.294654,83.80644,0.8988989238155581,0.01304217632267805,0.9353473686283615,47.20200196187385,23.52492912704432,79.64506532322012,left_tilt,6,left_tilt_20260609_091046.csv,130,180
0.22186802,0.29948086,0.089688785,-0.1817,0.77,0.37271196,6.94571,0.00018799998,0.0064303232,4.1349056e-05,-0.0134,0.0188,0.006433071,0.0020692202,-0.81495804,0.10743138,0.011541502,-0.9148,-0.458,0.8220085,33.784897,-0.87185407,0.8791537,0.7729113,-3.5387,1.2552,1.2381601,76.65203,56.742687,27.593813,761.4185,-24.023,89.6717,63.09636,199057.53,-1.042698,0.86306393,0.74487936,-2.1919,1.6631,1.3535503,91.60492,0.9024241636824221,0.016860029717676278,0.9449352623328224,59.00979158507848,22.413400464833547,89.72404418159049,left_tilt,6,left_tilt_20260609_091046.csv,140,190
